node_idx,Airport_ID,Src_cap,Des_cap,Name,City,Country,IATA,Latitude,Longitude
1017,5718.0,88.0,88.0,Waterloo Regional Airport,Waterloo,United States,ALO,42.55709838867188,-92.40029907226562
1018,3840.0,905.1666666666666,800.3333333333333,Rick Husband Amarillo International Airport,Amarillo,United States,AMA,35.219398,-101.706001
1019,2802.0,1190.0,1229.0,Rodríguez Ballón International Airport,Arequipa,Peru,AQP,-16.3411006927,-71.5830993652
1020,3838.0,228.0,228.0,Watertown International Airport,Watertown,United States,ART,43.99190139770508,-76.02169799804688
1021,3319.0,1523.0,1735.0,Alice Springs Airport,Alice Springs,Australia,ASP,-23.806699752807614,133.90199279785156
1022,3673.0,11404.516666666665,11575.516666666665,Austin Bergstrom International Airport,Austin,United States,AUS,30.194499969482425,-97.6698989868164
1023,4007.0,1308.0,1455.0,Asheville Regional Airport,Asheville,United States,AVL,35.43619918823242,-82.54180145263672
1024,4286.0,676.0,751.0,Wilkes Barre Scranton International Airport,Scranton,United States,AVP,41.338500976599995,-75.72339630130001
1025,4069.0,2975.0,2975.0,L.F. Wade International International Airport,Bermuda,Bermuda,BDA,32.363998413085945,-64.67870330810547
1026,3825.0,6262.283333333334,6353.416666666667,Bradley International Airport,Windsor Locks,United States,BDL,41.9388999939,-72.68319702149999
1027,3558.0,350.0,350.0,Meadows Field,Bakersfield,United States,BFL,35.43360138,-119.0569992
1028,2875.0,4446.0,4462.0,Sir Grantley Adams International Airport,Bridgetown,Barbados,BGI,13.0746002197,-59.492500305200004
1029,4129.0,210.0,210.0,Greater Binghamton/Edwin A Link field,Binghamton,United States,BGM,42.20869827,-75.97979736
1030,3463.0,726.0,726.0,Bangor International Airport,Bangor,United States,BGR,44.80739974975586,-68.82810211181639
1031,467.0,1935.0,1935.0,George Best Belfast City Airport,Belfast,United Kingdom,BHD,54.61809921264648,-5.872499942779541
1032,3811.0,4011.0,3885.0,Birmingham-Shuttlesworth International Airport,Birmingham,United States,BHM,33.56290054,-86.75350189
1033,1815.0,1388.6666666666667,1512.6666666666667,Del Bajío International Airport,Del Bajio,Mexico,BJX,20.9935,-101.481003
1034,4037.0,957.0,962.0,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,United States,BMI,40.47710037,-88.91590118
1035,3690.0,9458.716666666667,9477.166666666666,Nashville International Airport,Nashville,United States,BNA,36.1245002746582,-86.6781997680664
1036,3320.0,29153.46666666668,28143.05000000001,Brisbane International Airport,Brisbane,Australia,BNE,-27.38419914245605,153.11700439453125
1037,3495.0,2319.5,2193.5,Boise Air Terminal/Gowen Field,Boise,United States,BOI,43.5644,-116.223
1038,3612.0,98.66666666666666,98.66666666666666,Southeast Texas Regional Airport,Beaumont,United States,BPT,29.9507999420166,-94.02069854736328
1039,3738.0,164.0,164.0,Brownsville South Padre Island International Airport,Brownsville,United States,BRO,25.90679931640625,-97.4259033203125
1040,3846.0,569.0,565.6666666666666,Baton Rouge Metropolitan Airport,Baton Rouge,United States,BTR,30.533199,-91.149597
1041,3711.0,1102.3333333333335,1178.1333333333332,Burlington International Airport,Burlington,United States,BTV,44.471900939899996,-73.15329742429998
1042,3820.0,4166.033333333333,4020.209523809524,Buffalo Niagara International Airport,Buffalo,United States,BUF,42.94049835,-78.73220062
1043,3644.0,1847.0,1847.0,Bob Hope Airport,Burbank,United States,BUR,34.200698852539055,-118.35900115966795
1044,3849.0,19439.600000000002,20016.550000000003,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,BWI,39.1754,-76.668297
1045,3561.0,1241.0,1249.0,Columbia Metropolitan Airport,Columbia,United States,CAE,33.93880081176758,-81.11949920654297
1046,4112.0,2193.0,2314.0,Akron Canton Regional Airport,Akron,United States,CAK,40.916099548339844,-81.44219970703125
